11,11,11,11,11,11,11,11,11,11,11,11,11,19
12,15,9,12,15,9,9,9,12,15,9,9,12,10
8,10,20,8,10,21,21,21,8,10,23,20,8,10
8,13,11,14,13,11,11,11,14,13,11,11,14,10
8,15,9,12,15,9,9,9,12,15,9,9,12,10
8,10,20,8,10,5,5,5,8,10,21,21,8,10
8,13,11,14,13,11,11,11,14,13,11,11,14,10
8,15,9,12,15,9,9,9,12,15,9,9,12,10
8,10,20,8,10,22,20,22,8,10,23,22,8,10
8,13,11,14,13,11,11,11,14,13,11,11,14,10
8,15,9,12,15,9,9,9,12,15,9,9,12,10
8,10,20,8,10,5,5,5,8,10,20,6,8,10
8,13,11,14,13,11,11,11,14,13,11,11,14,13
18,9,9,9,9,9,9,9,9,9,9,9,9,9
