11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,15,9,12,15,9,9,9,12,15,9,9,12,15
8,10,0,8,10,0,0,0,8,10,0,0,8,10
8,13,11,14,13,11,11,11,14,13,11,11,14,10
8,15,9,12,15,9,9,9,12,15,9,9,12,10
8,10,0,8,10,0,0,0,8,10,0,0,8,10
8,13,11,14,13,11,11,11,14,13,11,11,14,10
8,15,9,12,15,9,9,9,12,15,9,9,12,10
8,10,0,8,10,0,0,0,8,10,0,0,8,10
8,13,11,14,13,11,11,11,14,13,11,11,14,10
8,15,9,12,15,9,9,9,12,15,9,9,12,10
8,10,0,8,10,0,0,0,8,10,0,0,8,10
14,13,11,14,13,11,11,11,14,13,11,11,14,13
9,9,9,9,9,9,9,9,9,9,9,9,9,9
